semaforo,localizacao1,localizacao2,bairro,latitude,longitude,tipo,funcionamento,,
161,Av. Mascarenhas de Morais,Rua Jean Emile de Favre,IMBIRIBEIRA,-8.106314,-34.911444,E/Git,Ocasional/Ped.,1,
162,Av. Conde da Boa Vista,Rua da Aurora,BOA VISTA,-8.062052,-34.881642,E/Git,Veic.C/Ped.,1,
163,Av. Dantas Barreto,Rua Nova,SANTO ANTÔNIO,-8.064378,-34.878424,E/Git,Pedestre,1,
164,Av. Martins de Barros,Praça da República,SANTO ANTÔNIO,-8.061638,-34.876530,E,Veicular,1,
165,Cais do Apolo,Av. Marquez de Olinda,RECIFE ANTIGO,-8.063737,-34.874422,E/Git,Veicular,1,
166,Rua do Espinheiro,Rua 48,ESPINHEIRO,-8.042306,-34.892561,E/Git,Veicular,1,
167,Rua Princesa Isabel,Rua da União,BOA VISTA,-8.059131,-34.880605,E/Git,Pedestre,1,
168,Rua Princesa Isabel,Rua da Saudade,BOA VISTA,-8.058763,-34.881174,E/Git,Veicular,1,
169,Av. Manoel Borba,Rua Gervásio Pires,BOA VISTA,-8.061105,-34.887367,E/Git,Veicular,1,
170,Rua do Príncipe,Em frente à UNICAP,BOA VISTA,-8.055811,-34.887862,E,Ocasional/Ped.,1,
171,Av. Cruz Cabugá,Av. Mário Melo,SANTO AMARO,-8.053960,-34.881592,E/Git,Veicular,1,
172,Av. Visconde de Suassuna,Rua 13 de Maio,SANTO AMARO,-8.053779,-34.884434,E/Git,Veicular,1,
173,Av. Gov. Agamenon Magalhães,Rua Dr. Bandeira Filho,DERBY,-8.051467,-34.895077,E/Git,Veicular,1,
174,Av. Gov. Agamenon Magalhães,Rua Dom Bosco,DERBY,-8.053390,-34.896415,E/Git,Veicular,1,
175,Rua do Riachuelo,Rua Gervásio Pires,BOA VISTA,-8.058313,-34.885652,E/Git,Veicular,1,
176,Rua do Príncipe,Rua Bispo Cardoso Aires,BOA VISTA,-8.056649,-34.886316,E/Git,Veicular,1,
177,Rua Amélia,Rua do Futuro,GRAÇAS,-8.045157,-34.898335,E/Git,Veicular,1,
178,Rua Amélia,Rua Antônio Novaes,GRAÇAS,-8.044977,-34.900298,E/Git,Ocasional/Ped.,1,
179,Rua José Osório,Rua Real da Torre,MADALENA,-8.053547,-34.908646,E/Git,Veicular,1,
180,Rua da Concórdia,Rua de São João,SÃO JOSÉ,-8.069743,-34.882977,E/Git,Veicular,1,
181,Av. Dantas Barreto,Rua do Peixoto,SÃO JOSÉ,-8.071401,-34.883221,E/Git,Veicular,1,
182,Rua da Concórdia ,Rua do Peixoto,SÃO JOSÉ,-8.070961,-34.883875,E/Git,Veicular,1,
